,id,title,authors,subjects,subject_split
29,arXiv:2006.10667,"
Title: Towards Threshold Invariant Fair Classification
","
Authors:
Mingliang Chen, 
Min Wu
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
30,arXiv:2006.10657,"
Title: Robust Group Subspace Recovery: A New Approach for Multi-Modality Data  Fusion
","
Authors:
Sally Ghanem, 
Ashkan Panahi, 
Hamid Krim, 
Ryan A. Kerekes
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
31,arXiv:2006.10653,"
Title: Precise expressions for random projections: Low-rank approximation and  randomized Newton
","
Authors:
Michał Dereziński, 
Feynman Liang, 
Zhenyu Liao, 
Michael W. Mahoney
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
32,arXiv:2006.10649,"
Title: Multi-Density Sketch-to-Image Translation Network
","
Authors:
Jialu Huang, 
Jing Liao, 
Zhifeng Tan, 
Sam Kwong
","
Subjects: Computer Vision and Pattern Recognition (cs.CV)
",['Computer Vision and Pattern Recognition (cs.CV)']
33,arXiv:2006.10645,"
Title: Online Deep Clustering for Unsupervised Representation Learning
","
Authors:
Xiaohang Zhan, 
Jiahao Xie, 
Ziwei Liu, 
Yew Soon Ong, 
Chen Change Loy
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)']"
34,arXiv:2006.10644,"
Title: p- and hp- virtual elements for the Stokes problem
","
Authors:
Alexey Chernov, 
Carlo Marcati, 
Lorenzo Mascotto
","
Subjects: Numerical Analysis (math.NA)
",['Numerical Analysis (math.NA)']
35,arXiv:2006.10643,"
Title: Erdos Goes Neural: an Unsupervised Learning Framework for Combinatorial  Optimization on Graphs
","
Authors:
Nikolaos Karalias, 
Andreas Loukas
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
36,arXiv:2006.10641,"
Title: Information Extraction from a Strategic Sender: The Zero Error Case
","
Authors:
Anuj S. Vora, 
Ankur A. Kulkarni
","
Subjects: Information Theory (cs.IT); Computer Science and Game Theory (cs.GT); Systems and Control (eess.SY)

","['Information Theory (cs.IT)', 'Computer Science and Game Theory (cs.GT)', 'Systems and Control (eess.SY)']"
37,arXiv:2006.10638,"
Title: Tight Bounds for Connectivity of Random K-out Graphs
","
Authors:
Mansi Sood, 
Osman Yagan
","
Subjects: Information Theory (cs.IT); Combinatorics (math.CO); Probability (math.PR)

","['Information Theory (cs.IT)', 'Combinatorics (math.CO)', 'Probability (math.PR)']"
38,arXiv:2006.10637,"
Title: Temporal Graph Networks for Deep Learning on Dynamic Graphs
","
Authors:
Emanuele Rossi, 
Ben Chamberlain, 
Fabrizio Frasca, 
Davide Eynard, 
Federico Monti, 
Michael Bronstein
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
39,arXiv:2006.10635,"
Title: Detecting Affective Flow States of Knowledge Workers Using Physiological  Sensors
","
Authors:
Matthew Lee
","
Subjects: Human-Computer Interaction (cs.HC); Machine Learning (cs.LG)

","['Human-Computer Interaction (cs.HC)', 'Machine Learning (cs.LG)']"
40,arXiv:2006.10633,"
Title: A Multi-View Approach Based on Naming Behavioral Modeling for Aligning  Chinese User Accounts across Multiple Networks
","
Authors:
Junxing Zhu, 
Xiang Wang, 
Qiang Liu, 
Xiaoyong Li, 
Chengcheng Shao, 
Bin Zhou
","
Subjects: Social and Information Networks (cs.SI)
",['Social and Information Networks (cs.SI)']
41,arXiv:2006.10632,"
Title: Explainable and Discourse Topic-aware Neural Language Understanding
","
Authors:
Yatin Chaudhary, 
Hinrich Schütze, 
Pankaj Gupta
","
Subjects: Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)

","['Computation and Language (cs.CL)', 'Artificial Intelligence (cs.AI)', 'Machine Learning (cs.LG)']"
42,arXiv:2006.10628,"
Title: Offline detection of change-points in the mean for stationary graph  signals
","
Authors:
Alejandro de la Concha, 
Nicolas Vayatis, 
Argyris Kalogeratos
","
Subjects: Machine Learning (cs.LG); Applications (stat.AP); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Applications (stat.AP)', 'Machine Learning (stat.ML)']"
43,arXiv:2006.10627,"
Title: Compositional Generalization by Learning Analytical Expressions
","
Authors:
Qian Liu, 
Shengnan An, 
Jian-Guang Lou, 
Bei Chen, 
Zeqi Lin, 
Yan Gao, 
Bin Zhou, 
Nanning Zheng, 
Dongmei Zhang
","
Subjects: Artificial Intelligence (cs.AI); Computation and Language (cs.CL)

","['Artificial Intelligence (cs.AI)', 'Computation and Language (cs.CL)']"
44,arXiv:2006.10626,"
Title: Use of in-the-wild images for anomaly detection in face anti-spoofing
","
Authors:
Latifah Abduh, 
Ioannis Ivrissimtzis
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Neural and Evolutionary Computing (cs.NE)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Neural and Evolutionary Computing (cs.NE)']"
45,arXiv:2006.10623,"
Title: SatImNet: Structured and Harmonised Training Data for Enhanced Satellite  Imagery Classification
","
Authors:
Vasileios Syrris, 
Ondrej Pesek, 
Pierre Soille
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)']"
46,arXiv:2006.10621,"
Title: On the Predictability of Pruning Across Scales
","
Authors:
Jonathan S. Rosenfeld, 
Jonathan Frankle, 
Michael Carbin, 
Nir Shavit
","
Subjects: Machine Learning (cs.LG); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
47,arXiv:2006.10620,"
Title: Local Competition and Uncertainty for Adversarial Robustness in Deep  Learning
","
Authors:
Antonios Alexos, 
Konstantinos P. Panousis, 
Sotirios Chatzis
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
48,arXiv:2006.10619,"
Title: Tensor Decompositions in Recursive NeuralNetworks for Tree-Structured  Data
","
Authors:
Daniele Castellana, 
Davide Bacciu
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
49,arXiv:2006.10615,"
Title: AVClass2: Massive Malware Tag Extraction from AV Labels
","
Authors:
Silvia Sebastián, 
Juan Caballero
","
Subjects: Cryptography and Security (cs.CR)
",['Cryptography and Security (cs.CR)']
50,arXiv:2006.10611,"
Title: Competitive Policy Optimization
","
Authors:
Manish Prajapat, 
Kamyar Azizzadenesheli, 
Alexander Liniger, 
Yisong Yue, 
Anima Anandkumar
","
Subjects: Machine Learning (cs.LG); Computer Science and Game Theory (cs.GT); Multiagent Systems (cs.MA); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Computer Science and Game Theory (cs.GT)', 'Multiagent Systems (cs.MA)', 'Machine Learning (stat.ML)']"
51,arXiv:2006.10609,"
Title: The Clever Hans Effect in Anomaly Detection
","
Authors:
Jacob Kauffmann, 
Lukas Ruff, 
Grégoire Montavon, 
Klaus-Robert Müller
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)', 'Machine Learning (stat.ML)']"
52,arXiv:2006.10608,"
Title: Robotics Software Engineering: A Perspective from the Service Robotics  Domain
","
Authors:
Sergio García, 
Daniel Strüber, 
Davide Brugali, 
Thorsten Berger, 
Patrizio Pelliccione
","
Subjects: Software Engineering (cs.SE); Robotics (cs.RO)

","['Software Engineering (cs.SE)', 'Robotics (cs.RO)']"
53,arXiv:2006.10606,"
Title: Convergent validity of several indicators measuring disruptiveness with  milestone assignments to physics papers by experts
","
Authors:
Lutz Bornmann, 
Alexander Tekles
","
Subjects: Digital Libraries (cs.DL); Physics and Society (physics.soc-ph)

","['Digital Libraries (cs.DL)', 'Physics and Society (physics.soc-ph)']"
54,arXiv:2006.10604,"
Title: Compositional theories for embedded languages
","
Authors:
Davide Trotta, 
Margherita Zorzi
","
Subjects: Logic in Computer Science (cs.LO); Programming Languages (cs.PL)

","['Logic in Computer Science (cs.LO)', 'Programming Languages (cs.PL)']"
55,arXiv:2006.10600,"
Title: Multi-Source Unsupervised Hyperparameter Optimization
","
Authors:
Masahiro Nomura, 
Yuta Saito
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
56,arXiv:2006.10599,"
Title: Constraining Variational Inference with Geometric Jensen-Shannon  Divergence
","
Authors:
Jacob Deasy, 
Nikola Simidjievski, 
Pietro Liò
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
57,arXiv:2006.10598,"
Title: Shapeshifter Networks: Cross-layer Parameter Sharing for Scalable and  Effective Deep Learning
","
Authors:
Bryan A. Plummer, 
Nikoli Dryden, 
Julius Frost, 
Torsten Hoefler, 
Kate Saenko
","
Subjects: Machine Learning (cs.LG); Computation and Language (cs.CL); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Computation and Language (cs.CL)', 'Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
58,arXiv:2006.10592,"
Title: On the complexity of detecting hazards
","
Authors:
Balagopal Komarath, 
Nitin Saurabh
","
Subjects: Computational Complexity (cs.CC)
",['Computational Complexity (cs.CC)']
59,arXiv:2006.10591,"
Title: Security Considerations for Internet of Things: A Survey
","
Authors:
A. Jurcut, 
T. Niculcea, 
P. Ranaweera, 
A. LeKhac
","
Subjects: Cryptography and Security (cs.CR)
",['Cryptography and Security (cs.CR)']
60,arXiv:2006.10588,"
Title: Low-Rank Parity-Check Codes over Galois Rings
","
Authors:
Julian Renner, 
Alessandro Neri, 
Sven Puchinger
","
Subjects: Information Theory (cs.IT)
",['Information Theory (cs.IT)']
61,arXiv:2006.10587,"
Title: Lightweight Collaborative Anomaly Detection for the IoT using Blockchain
","
Authors:
Yisroel Mirsky, 
Tomer Golomb, 
Yuval Elovici
","
Subjects: Cryptography and Security (cs.CR); Distributed, Parallel, and Cluster Computing (cs.DC); Machine Learning (cs.LG)

","['Cryptography and Security (cs.CR)', 'Distributed, Parallel, and Cluster Computing (cs.DC)', 'Machine Learning (cs.LG)']"
62,arXiv:2006.10581,"
Title: Minimax Lower Bounds for Transfer Learning with Linear and One-hidden  Layer Neural Networks
","
Authors:
Seyed Mohammadreza Mousavi Kalan, 
Zalan Fabian, 
A. Salman Avestimehr, 
Mahdi Soltanolkotabi
","
Subjects: Machine Learning (cs.LG); Information Theory (cs.IT); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Information Theory (cs.IT)', 'Machine Learning (stat.ML)']"
63,arXiv:2006.10571,"
Title: Likelihood-Free Inference with Deep Gaussian Processes
","
Authors:
Alexander Aushev, 
Henri Pesonen, 
Markus Heinonen, 
Jukka Corander, 
Samuel Kaski
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
64,arXiv:2006.10569,"
Title: Neural Graphics Pipeline for Controllable Image Generation
","
Authors:
Xuelin Chen, 
Daniel Cohen-Or, 
Baoquan Chen, 
Niloy J. Mitra
","
Subjects: Computer Vision and Pattern Recognition (cs.CV)
",['Computer Vision and Pattern Recognition (cs.CV)']
65,arXiv:2006.10562,"
Title: Uncertainty in Gradient Boosting via Ensembles
","
Authors:
Aleksei Ustimenko, 
Liudmila Prokhorenkova, 
Andrey Malinin
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
66,arXiv:2006.10560,"
Title: Gradient Amplification: An efficient way to train deep neural networks
","
Authors:
Sunitha Basodi, 
Chunyan Ji, 
Haiping Zhang, 
Yi Pan
","
Subjects: Machine Learning (cs.LG); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
67,arXiv:2006.10559,"
Title: Differentially-private Federated Neural Architecture Search
","
Authors:
Ishika Singh, 
Haoyi Zhou, 
Kunlin Yang, 
Meng Ding, 
Bill Lin, 
Pengtao Xie
","
Subjects: Machine Learning (cs.LG); Cryptography and Security (cs.CR); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Cryptography and Security (cs.CR)', 'Machine Learning (stat.ML)']"
68,arXiv:2006.10553,"
Title: Artificial Musical Intelligence: A Survey
","
Authors:
Elad Liebman, 
Peter Stone
","
Subjects: Sound (cs.SD); Artificial Intelligence (cs.AI); Multimedia (cs.MM); Audio and Speech Processing (eess.AS)

","['Sound (cs.SD)', 'Artificial Intelligence (cs.AI)', 'Multimedia (cs.MM)', 'Audio and Speech Processing (eess.AS)']"
69,arXiv:2006.10547,"
Title: MOSQUITO-NET: A deep learning based CADx system for malaria diagnosis  along with model interpretation using GradCam and class activation maps
","
Authors:
Aayush Kumar, 
Sanat B Singh, 
Suresh Chandra Satapathy, 
Minakhi Rout
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Image and Video Processing (eess.IV)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)', 'Image and Video Processing (eess.IV)']"
70,arXiv:2006.10538,"
Title: Subgraph Neural Networks
","
Authors:
Emily Alsentzer, 
Samuel G. Finlayson, 
Michelle M. Li, 
Marinka Zitnik
","
Subjects: Machine Learning (cs.LG); Social and Information Networks (cs.SI); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Social and Information Networks (cs.SI)', 'Machine Learning (stat.ML)']"
71,arXiv:2006.10532,"
Title: COVID-ABS: An Agent-Based Model of COVID-19 Epidemic to Simulate Health  and Economic Effects of Social Distancing Interventions
","
Authors:
Petrônio C. L. Silva, 
Paulo V. C. Batista, 
Hélder S. Lima, 
Marcos A. Alves, 
Frederico G. Guimarães, 
Rodrigo C. P. Silva
","
Subjects: Artificial Intelligence (cs.AI); Physics and Society (physics.soc-ph)

","['Artificial Intelligence (cs.AI)', 'Physics and Society (physics.soc-ph)']"
72,arXiv:2006.10531,"
Title: LimeOut: An Ensemble Approach To Improve Process Fairness
","
Authors:
Vaishnavi Bhargava, 
Miguel Couceiro, 
Amedeo Napoli
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
73,arXiv:2006.10529,"
Title: Neural Path Features and Neural Path Kernel : Understanding the role of  gates in deep learning
","
Authors:
Chandrashekar Lakshminarayanan, 
Amit Vikram Singh
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
74,arXiv:2006.10528,"
Title: The United Nations Sustainable Development Goals in Systems Engineering:  Eliciting sustainability requirements
","
Authors:
Ian Brooks
","
Subjects: Computers and Society (cs.CY)
",['Computers and Society (cs.CY)']
75,arXiv:2006.10527,"
Title: A decoding algorithm for 2D convolutional codes over the erasure channel
","
Authors:
Julia Lieb, 
Raquel Pinto
","
Subjects: Information Theory (cs.IT)
",['Information Theory (cs.IT)']
76,arXiv:2006.10525,"
Title: StarCraft II Build Order Optimization using Deep Reinforcement Learning  and Monte-Carlo Tree Search
","
Authors:
Islam Elnabarawy, 
Kristijana Arroyo, 
Donald C. Wunsch II
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)']"
77,arXiv:2006.10524,"
Title: Reinforcement Learning as Iterative and Amortised Inference
","
Authors:
Beren Millidge, 
Alexander Tschantz, 
Anil K Seth, 
Christopher L Buckley
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)', 'Machine Learning (stat.ML)']"
